HEADER,Raster Number, RF Direction,Polarization,Date,Time,
,0,Tx,Horizontal,2019/03/13,16:44:58
BS1,BS2,RT1
-10,-10,0.0
AO settings - B2AO0,...,B2AO31,B1AO0,...,B1AO31 
2.8010,2.3095,5.8183,0.6437,3.8653,3.4733,3.2132,1.5288,3.6697,1.3968,3.4660,4.7084,2.2577,2.2737,1.6186,0.1757,5.7644,2.1059,2.5940,0.8820,0.9684,1.1690,4.5157,5.2557,2.5654,2.9544,1.4950,2.2084,5.7939,2.5308,0.7750,1.5193,5.2077,4.8064,4.7818,4.2549,1.3184,4.1070,4.3914,1.7931,2.9452,5.2345,2.1536,4.9335,0.5984,1.8171,1.3235,3.2385,1.9866,1.7833,2.1510,2.9001,5.6687,5.6525,5.8479,3.7128,4.9432,0.9743,0.7073,2.4969,3.9856,5.1438,4.6600,1.6686
Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg
7.63000000000E+10,-1.47032116757E+01,+1.61668735940E+01,-3.02627498417E+01,+5.93748169055E+01,-3.07066789385E+01,+8.63920967963E+01,-1.07856122605E+01,-3.06333040406E+01
7.63500000000E+10,-1.48470489470E+01,+1.34728477363E+01,-3.01021883956E+01,+5.01653237358E+01,-3.00812693054E+01,+7.79240646269E+01,-1.08888738233E+01,-4.97420179355E+01
7.64000000000E+10,-1.49547283896E+01,+1.11488516006E+01,-2.98804221689E+01,+4.06311539122E+01,-3.01943640786E+01,+6.93847803509E+01,-1.09655511115E+01,-6.84177448079E+01
7.64500000000E+10,-1.49480427934E+01,+8.71783709694E+00,-2.97028028518E+01,+3.02404433887E+01,-2.98688108688E+01,+5.89076759738E+01,-1.10607456867E+01,-8.67178233358E+01
7.65000000000E+10,-1.49306001682E+01,+6.14525625099E+00,-2.93573461643E+01,+1.97856066279E+01,-2.92656829975E+01,+5.00106520561E+01,-1.11741621769E+01,-1.04542109472E+02
7.65500000000E+10,-1.48084578816E+01,+3.55844075786E+00,-2.90561325633E+01,+9.01305413923E+00,-2.88793216634E+01,+4.06873354209E+01,-1.13209145073E+01,-1.21813305256E+02
7.66000000000E+10,-1.46830511764E+01,+8.82712458315E-01,-2.87182605337E+01,-2.29747106142E+00,-2.86494180165E+01,+2.61235717363E+01,-1.15858477811E+01,-1.38452373897E+02
7.66500000000E+10,-1.45499826467E+01,-1.58437549184E+00,-2.84125722157E+01,-1.32710289337E+01,-2.87034632061E+01,+1.48253162612E+01,-1.19855555556E+01,-1.54004977666E+02
7.67000000000E+10,-1.44467192187E+01,-4.20411500929E+00,-2.82418024276E+01,-2.57619623471E+01,-2.84099628956E+01,+7.09174850377E+00,-1.24143054712E+01,-1.68677116587E+02
7.67500000000E+10,-1.44121182019E+01,-6.61733125155E+00,-2.82175078918E+01,-3.79239394579E+01,-2.81823556489E+01,-6.91444958970E+00,-1.28167011287E+01,+1.77693265142E+02
7.68000000000E+10,-1.43924952239E+01,-9.26771560144E+00,-2.81842707915E+01,-5.07485836262E+01,-2.80615205078E+01,-2.08361851247E+01,-1.31943090092E+01,+1.64913660605E+02
7.68500000000E+10,-1.43878453650E+01,-1.19635430629E+01,-2.82559760699E+01,-6.42095374140E+01,-2.81744897329E+01,-3.46570128413E+01,-1.35048233735E+01,+1.53164801228E+02
7.69000000000E+10,-1.43981112439E+01,-1.48312984493E+01,-2.83556883936E+01,-7.74741537458E+01,-2.82094146660E+01,-4.68734878253E+01,-1.37534125125E+01,+1.41614110368E+02
7.69500000000E+10,-1.43605714399E+01,-1.78117173106E+01,-2.83640344765E+01,-9.07394499952E+01,-2.79386259564E+01,-6.07247397260E+01,-1.39926463196E+01,+1.30258105987E+02
7.70000000000E+10,-1.43027983464E+01,-2.08291760262E+01,-2.85223746595E+01,-1.04271240487E+02,-2.84861608195E+01,-7.64962236565E+01,-1.41456403023E+01,+1.19183746922E+02
7.70500000000E+10,-1.42341288261E+01,-2.36101438689E+01,-2.86483273479E+01,-1.17296967455E+02,-2.82053284255E+01,-8.69475257555E+01,-1.43303191947E+01,+1.08137480208E+02
7.71000000000E+10,-1.40291947815E+01,-2.67705559089E+01,-2.89241573771E+01,-1.31078045301E+02,-2.81329433938E+01,-1.06943543872E+02,-1.43842499705E+01,+9.68048688284E+01
7.71500000000E+10,-1.38008186052E+01,-2.96850536960E+01,-2.92723995362E+01,-1.44567879942E+02,-2.98018553328E+01,-1.22272446181E+02,-1.43818509105E+01,+8.52017542280E+01
7.72000000000E+10,-1.36576680737E+01,-3.23380902901E+01,-2.96628826766E+01,-1.57089158186E+02,-3.01735416867E+01,-1.27741433857E+02,-1.44078823849E+01,+7.42622167215E+01
7.72500000000E+10,-1.35301531143E+01,-3.53821760154E+01,-3.01727643234E+01,-1.70168986395E+02,-3.00555888944E+01,-1.35923741781E+02,-1.44274742072E+01,+6.27265046279E+01
7.73000000000E+10,-1.34746769431E+01,-3.84050696806E+01,-3.08342222673E+01,+1.77310751576E+02,-2.99542646519E+01,-1.49006023714E+02,-1.45442796376E+01,+4.99734859994E+01
7.73500000000E+10,-1.34791703595E+01,-4.12688551501E+01,-3.15441729234E+01,+1.64888982626E+02,-3.05103829974E+01,-1.65149161171E+02,-1.47362016918E+01,+3.62773653458E+01
7.74000000000E+10,-1.34785579220E+01,-4.41596248897E+01,-3.23982763608E+01,+1.53274546832E+02,-3.18474572371E+01,-1.72096573766E+02,-1.50294316479E+01,+2.11840078011E+01
7.74500000000E+10,-1.35006940685E+01,-4.75235081390E+01,-3.32376226786E+01,+1.42746647839E+02,-3.25384162496E+01,+1.77160322814E+02,-1.55008369542E+01,+5.38912453134E+00
7.75000000000E+10,-1.35676358536E+01,-5.08397391636E+01,-3.41793852820E+01,+1.31821534772E+02,-3.35560659690E+01,+1.61671971065E+02,-1.59792627168E+01,-1.13500031936E+01
7.75500000000E+10,-1.36153671628E+01,-5.40376909976E+01,-3.53610160726E+01,+1.21492479672E+02,-3.54544833650E+01,+1.59674104940E+02,-1.65677710352E+01,-2.95029400015E+01
7.76000000000E+10,-1.36351291434E+01,-5.71057771345E+01,-3.65693554559E+01,+1.14235530601E+02,-3.58121878923E+01,+1.41179405949E+02,-1.73284903536E+01,-4.78508315779E+01
7.76500000000E+10,-1.36328947237E+01,-6.02786426580E+01,-3.75458220276E+01,+1.05660886665E+02,-3.83465110434E+01,+1.46504253714E+02,-1.80806207147E+01,-6.67859253954E+01
7.77000000000E+10,-1.35840754828E+01,-6.33477571138E+01,-3.88854359242E+01,+1.04117371463E+02,-3.81961396044E+01,+1.39493548969E+02,-1.89837537615E+01,-8.67884592583E+01
7.77500000000E+10,-1.35362688247E+01,-6.63109506532E+01,-3.98626212867E+01,+1.03148447929E+02,-4.17632582613E+01,+1.30550860651E+02,-1.99386325702E+01,-1.06911581868E+02
7.78000000000E+10,-1.34669478626E+01,-6.89897567071E+01,-3.98394261916E+01,+1.05076600894E+02,-3.98870572448E+01,+1.30274804085E+02,-2.08565906525E+01,-1.28309096984E+02
7.78500000000E+10,-1.33945436563E+01,-7.17101821333E+01,-3.95612353264E+01,+1.05976606690E+02,-4.05062600960E+01,+1.36381176763E+02,-2.17247162867E+01,-1.50893145310E+02
7.79000000000E+10,-1.33561259048E+01,-7.41647037106E+01,-3.86741468967E+01,+1.02961643150E+02,-4.07144407915E+01,+1.36073357577E+02,-2.22669470405E+01,-1.74773986539E+02
7.79500000000E+10,-1.33217009933E+01,-7.66827890572E+01,-3.76277379849E+01,+9.66202594549E+01,-3.69920277300E+01,+1.32020296647E+02,-2.25741712913E+01,+1.58553035895E+02
